Audio File : whispy\mar_07\030723_meeting.wav             
Pipeline : pyannote/speaker-diarization
                  
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~          
 Starting diarization...          
 Time : 04:17:14          
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
                
[ 00:20:32.997 -->  00:20:33.014] LI SPEAKER_05
[ 00:20:39.494 -->  00:20:49.450] EE SPEAKER_02
[ 00:20:40.320 -->  00:20:41.265] NN SPEAKER_06
[ 00:20:42.430 -->  00:20:45.366] NO SPEAKER_06
[ 00:20:46.598 -->  00:20:46.935] NP SPEAKER_06
[ 00:20:48.336 -->  00:20:48.944] NQ SPEAKER_06
[ 00:20:48.606 -->  00:21:00.149] HS SPEAKER_03
[ 00:20:49.450 -->  00:20:49.939] PP SPEAKER_07
[ 00:20:58.950 -->  00:21:08.249] EF SPEAKER_02
[ 00:21:00.925 -->  00:21:02.832] HT SPEAKER_03
[ 00:21:03.473 -->  00:21:04.418] HU SPEAKER_03
[ 00:21:05.684 -->  00:21:06.443] HV SPEAKER_03
[ 00:21:05.937 -->  00:21:10.409] NR SPEAKER_06
[ 00:21:10.965 -->  00:21:13.817] PQ SPEAKER_07
[ 00:21:11.117 -->  00:21:21.597] EG SPEAKER_02
[ 00:21:22.592 -->  00:21:30.962] EH SPEAKER_02
[ 00:21:24.094 -->  00:21:26.794] NS SPEAKER_06
[ 00:21:29.730 -->  00:21:45.087] HW SPEAKER_03
[ 00:21:36.143 -->  00:21:36.160] PR SPEAKER_07
[ 00:21:42.083 -->  00:21:44.462] PS SPEAKER_07
[ 00:21:43.517 -->  00:21:43.787] EI SPEAKER_02
[ 00:21:45.239 -->  00:21:53.018] EJ SPEAKER_02
[ 00:21:46.825 -->  00:21:47.905] HX SPEAKER_03
[ 00:21:52.360 -->  00:21:53.946] HY SPEAKER_03
[ 00:21:54.840 -->  00:22:00.105] HZ SPEAKER_03
[ 00:22:01.000 -->  00:22:07.497] EK SPEAKER_02
[ 00:22:11.395 -->  00:22:45.955] IA SPEAKER_03
[ 00:22:24.625 -->  00:22:24.962] AC SPEAKER_00
[ 00:22:29.586 -->  00:22:31.915] AD SPEAKER_00
[ 00:22:37.028 -->  00:22:38.631] LJ SPEAKER_05
[ 00:22:41.213 -->  00:22:42.360] LK SPEAKER_05
[ 00:22:41.939 -->  00:22:44.031] PT SPEAKER_07
[ 00:22:43.997 -->  00:22:49.566] LL SPEAKER_05
[ 00:22:48.908 -->  00:23:04.180] IB SPEAKER_03
[ 00:22:52.806 -->  00:22:53.093] LM SPEAKER_05
[ 00:23:04.197 -->  00:23:04.467] PU SPEAKER_07
[ 00:23:05.125 -->  00:23:32.462] IC SPEAKER_03
[ 00:23:32.462 -->  00:23:32.614] EL SPEAKER_02
[ 00:23:33.104 -->  00:23:33.998] PV SPEAKER_07
[ 00:23:33.137 -->  00:23:33.441] ID SPEAKER_03
[ 00:23:33.492 -->  00:23:35.685] EM SPEAKER_02
[ 00:23:33.998 -->  00:23:39.634] NT SPEAKER_06
[ 00:23:38.301 -->  00:23:46.941] KL SPEAKER_04
[ 00:23:44.444 -->  00:23:53.438] IE SPEAKER_03
[ 00:23:46.941 -->  00:23:47.667] PW SPEAKER_07
[ 00:23:50.147 -->  00:23:51.008] NU SPEAKER_06
